Predictor variable,Categorical,Sample average
Bio_01,false,16.845343320156214
Bio_02,false,10.216312189349848
Bio_03,false,37.86732325391952
Bio_04,false,554.0609571194655
Bio_05,false,32.1734594001992
Bio_06,false,5.161296087788371
Bio_07,false,27.01216325831954
Bio_08,false,13.2783390729131
Bio_09,false,23.146013984690114
Bio_10,false,23.942685332273843
Bio_11,false,10.511760212301763
Bio_12,false,17.421363465265987
Bio_13,false,4.5323952049299105
Bio_14,false,0.049711505553126076
Bio_15,false,57.608645968709304
Bio_16,false,8.810294744028864
Bio_17,false,0.7157773062888354
Bio_18,false,1.0689978473329176
Bio_19,false,6.293920675057536
East_Mediterranean_DEM,false,205.3683245742258
East_Mediterranean_aspect,false,178.4714653885231
East_Mediterranean_slope,false,5.256658274629575
river_proximity_map,false,569.8675249547535
