Predictor variable,Categorical,Sample average
Bio_01.tif,false,18.31744782912622
Bio_02.tif,false,9.674683969882551
Bio_03.tif,false,40.55299127424839
Bio_04.tif,false,486.04539563286266
Bio_05.tif,false,28.786439091593312
Bio_06.tif,false,4.8778284295581855
Bio_07.tif,false,23.90861061582682
Bio_08.tif,false,11.767250606305572
Bio_09.tif,false,21.263478717988203
Bio_10.tif,false,21.60825201635931
Bio_11.tif,false,9.872568775167371
Bio_12.tif,false,30.361900662773653
Bio_13.tif,false,6.621921717286246
Bio_14.tif,false,0.2227889272600743
Bio_15.tif,false,57.90587160507122
Bio_16.tif,false,14.299189740874233
Bio_17.tif,false,1.6943196304174517
Bio_18.tif,false,2.1255206532442794
Bio_19.tif,false,11.335410906057875
East_Mediterranean_DEM,false,245.55418586493633
East_Mediterranean_aspect,false,182.26236662736153
East_Mediterranean_slope,false,8.913322593365454
river_proximity_map,false,599.672264216276
