Predictor variable,Categorical,Sample average
Bio_01.tif,false,19.449488635721824
Bio_02.tif,false,10.29104804212588
Bio_03.tif,false,38.862591223210714
Bio_04.tif,false,549.139553058185
Bio_05.tif,false,31.549607249337868
Bio_06.tif,false,5.047545900246441
Bio_07.tif,false,26.502061516950576
Bio_08.tif,false,12.666506024721265
Bio_09.tif,false,23.310029328376107
Bio_10.tif,false,23.593065554654995
Bio_11.tif,false,10.312844336149643
Bio_12.tif,false,21.040899118964063
Bio_13.tif,false,5.477874332242339
Bio_14.tif,false,0.026175889275450677
Bio_15.tif,false,62.302081133557266
Bio_16.tif,false,10.988387983079058
Bio_17.tif,false,0.6060450208435092
Bio_18.tif,false,0.909418709965946
Bio_19.tif,false,7.919812910421608
East_Mediterranean_DEM,false,226.16448707530094
East_Mediterranean_aspect,false,177.777394416557
East_Mediterranean_slope,false,5.172971132384436
river_proximity_map,false,543.4781045009267
