Predictor variable,Categorical,Sample average
Bio_01,false,15.559411505326867
Bio_02,false,9.371485519518968
Bio_03,false,37.206585640150806
Bio_04,false,519.1279491916414
Bio_05,false,29.50876635493654
Bio_06,false,4.325158770561917
Bio_07,false,25.1836075704153
Bio_08,false,11.64721472965984
Bio_09,false,20.99652962647799
Bio_10,false,22.182739183581166
Bio_11,false,9.627669343938448
Bio_12,false,29.000680481473818
Bio_13,false,6.583586712518903
Bio_14,false,0.17748956857557646
Bio_15,false,59.34646910595455
Bio_16,false,13.822253731553639
Bio_17,false,1.7717184716358612
Bio_18,false,2.2900322456038995
Bio_19,false,10.658993422170516
East_Mediterranean_DEM,false,244.25730456775293
East_Mediterranean_aspect,false,182.2293608963525
East_Mediterranean_slope,false,8.88029675730197
river_proximity_map,false,598.0444372639512
