Predictor variable,Categorical,Sample average
Bio_01,false,12.808724578863982
Bio_02,false,10.015444015903094
Bio_03,false,35.56476701587208
Bio_04,false,611.0047061096874
Bio_05,false,28.79164553057604
Bio_06,false,0.6035121720019612
Bio_07,false,28.1881334267089
Bio_08,false,8.317253793403186
Bio_09,false,18.208047678218456
Bio_10,false,20.727158434106066
Bio_11,false,5.970134587710209
Bio_12,false,27.860196263648678
Bio_13,false,5.744362321068065
Bio_14,false,0.2615314801820167
Bio_15,false,52.17567676403147
Bio_16,false,12.480208594534588
Bio_17,false,2.271412496462221
Bio_18,false,2.905670353747193
Bio_19,false,9.560116278745957
East_Mediterranean_DEM,false,710.9614161149449
East_Mediterranean_aspect,false,185.55873078717718
East_Mediterranean_slope,false,9.52418245330312
river_proximity_map,false,688.605116630154
