Predictor variable,Categorical,Sample average
Bio_01,false,16.649489342123086
Bio_02,false,10.29104804212588
Bio_03,false,38.862591223210714
Bio_04,false,549.139553058185
Bio_05,false,31.549607249337868
Bio_06,false,5.047545900246441
Bio_07,false,26.502061516950576
Bio_08,false,12.666506024721265
Bio_09,false,23.310029328376107
Bio_10,false,23.593065554654995
Bio_11,false,10.312844336149643
Bio_12,false,21.040899118964063
Bio_13,false,5.477874332242339
Bio_14,false,0.026175889275450677
Bio_15,false,62.302081133557266
Bio_16,false,10.988387983079058
Bio_17,false,0.6060450208435092
Bio_18,false,0.909418709965946
Bio_19,false,7.919812910421608
East_Mediterranean_DEM,false,226.16448707530094
East_Mediterranean_aspect,false,177.777394416557
East_Mediterranean_slope,false,5.172971132384436
river_proximity_map,false,543.4781045009267
