Predictor variable,Categorical,Sample average
Bio_01,false,12.653159204267197
Bio_02,false,11.165521919624318
Bio_03,false,38.8692668144062
Bio_04,false,597.5807409283342
Bio_05,false,29.089403687459207
Bio_06,false,0.30549909023191757
Bio_07,false,28.78390457160698
Bio_08,false,7.665666425511295
Bio_09,false,19.921965784515
Bio_10,false,20.22744509283408
Bio_11,false,5.742801085118766
Bio_12,false,28.526769493408395
Bio_13,false,5.542724293785606
Bio_14,false,0.29693975142971707
Bio_15,false,48.23300217440732
Bio_16,false,12.655859699749879
Bio_17,false,2.322166474118263
Bio_18,false,2.617233015079661
Bio_19,false,10.120848016200577
East_Mediterranean_DEM,false,714.3375576146118
East_Mediterranean_aspect,false,185.34521299656495
East_Mediterranean_slope,false,9.543791705080311
river_proximity_map,false,682.2170445473907
