Predictor variable,Categorical,Sample average
Bio_01,false,14.619550439709915
Bio_02,false,9.381344541375052
Bio_03,false,36.435537615216894
Bio_04,false,541.9264229916254
Bio_05,false,28.996545297217946
Bio_06,false,3.21496682853001
Bio_07,false,25.781578445878893
Bio_08,false,10.46602291928229
Bio_09,false,19.982863305972558
Bio_10,false,21.565438228291036
Bio_11,false,8.467922949057153
Bio_12,false,30.077307164963567
Bio_13,false,6.637648173312961
Bio_14,false,0.204649106067657
Bio_15,false,58.27747876297766
Bio_16,false,14.13539790275759
Bio_17,false,1.9895124506175341
Bio_18,false,2.5371675781950884
Bio_19,false,10.94422336047473
East_Mediterranean_DEM,false,378.9835146795209
East_Mediterranean_aspect,false,183.87256718530134
East_Mediterranean_slope,false,9.47280206581672
river_proximity_map,false,597.7088873708516
