Predictor variable,Categorical,Sample average
Bio_01,false,15.051269992139302
Bio_02,false,10.037496845857442
Bio_03,false,40.83853070837368
Bio_04,false,496.9636337731484
Bio_05,false,28.79898451609298
Bio_06,false,4.143372510510607
Bio_07,false,24.65561199228919
Bio_08,false,11.15469613705013
Bio_09,false,20.851890667936626
Bio_10,false,21.280016784418468
Bio_11,false,9.289426766904363
Bio_12,false,31.90035655845023
Bio_13,false,6.672876851668505
Bio_14,false,0.27929839073555784
Bio_15,false,55.464477906756606
Bio_16,false,14.638942057980897
Bio_17,false,1.9987760280435198
Bio_18,false,2.3978063124769187
Bio_19,false,11.747835590343607
East_Mediterranean_DEM,false,288.3301138403904
East_Mediterranean_aspect,false,183.48711595650178
East_Mediterranean_slope,false,9.686069832365197
river_proximity_map,false,578.3410197154585
