Predictor variable,Categorical,Sample average
Bio_01,false,17.136889856824777
Bio_02,false,10.629484945389944
Bio_03,false,37.24111019940537
Bio_04,false,597.5467553677187
Bio_05,false,33.38480626606969
Bio_06,false,4.797326688140813
Bio_07,false,28.587479726677028
Bio_08,false,13.610089987759263
Bio_09,false,24.19726791231957
Bio_10,false,24.834440281838006
Bio_11,false,10.332815116720234
Bio_12,false,16.44374100418113
Bio_13,false,4.349372712780349
Bio_14,false,0.03334000384856809
Bio_15,false,57.768499617526636
Bio_16,false,8.442733284411247
Bio_17,false,0.5972998399846906
Bio_18,false,0.9399152385966464
Bio_19,false,5.9032353186357565
East_Mediterranean_DEM,false,224.80747113551195
East_Mediterranean_aspect,false,177.85509754920312
East_Mediterranean_slope,false,5.186310362396057
river_proximity_map,false,538.2351003981025
