Predictor variable,Categorical,Sample average
Bio_01,false,14.8762552047878
Bio_02,false,9.478108539488483
Bio_03,false,36.88872961986384
Bio_04,false,534.1982412964758
Bio_05,false,29.118254074505067
Bio_06,false,3.3801462545882175
Bio_07,false,25.73810780193394
Bio_08,false,10.714875837312128
Bio_09,false,20.123033737034113
Bio_10,false,21.705402378908328
Bio_11,false,8.79260894097841
Bio_12,false,31.4874767224574
Bio_13,false,6.919898341171933
Bio_14,false,0.19702262622632827
Bio_15,false,59.288403337019204
Bio_16,false,14.769601152471092
Bio_17,false,2.0335557954589816
Bio_18,false,2.569561807198536
Bio_19,false,11.566177383246503
East_Mediterranean_DEM,false,282.76115690240607
East_Mediterranean_aspect,false,184.7709288214245
East_Mediterranean_slope,false,9.770515693365223
river_proximity_map,false,535.5225225481094
