Predictor variable,Categorical,Sample average
Bio_01,false,17.17441860521075
Bio_02,false,9.673071780325085
Bio_03,false,37.81902079614377
Bio_04,false,520.1664521643557
Bio_05,false,31.54464122935173
Bio_06,false,6.064742065253271
Bio_07,false,25.479899107918513
Bio_08,false,13.898463617406307
Bio_09,false,23.07116293115018
Bio_10,false,23.811089943326653
Bio_11,false,11.20291838370768
Bio_12,false,16.807489179058013
Bio_13,false,4.5369497045349725
Bio_14,false,0.0434895358514855
Bio_15,false,58.516158990910014
Bio_16,false,8.671860577552103
Bio_17,false,0.6311494042664625
Bio_18,false,0.9710835926002066
Bio_19,false,6.129147361285562
East_Mediterranean_DEM,false,135.38496662585877
East_Mediterranean_aspect,false,177.37393945507665
East_Mediterranean_slope,false,5.203996218921481
river_proximity_map,false,613.3768047415671
