Predictor variable,Categorical,Sample average
Bio_01.tif,false,15.45315920685538
Bio_02.tif,false,11.165521919624318
Bio_03.tif,false,38.8692668144062
Bio_04.tif,false,597.5807409283342
Bio_05.tif,false,29.089403687459207
Bio_06.tif,false,0.30549909023191757
Bio_07.tif,false,28.78390457160698
Bio_08.tif,false,7.665666425511295
Bio_09.tif,false,19.921965784515
Bio_10.tif,false,20.22744509283408
Bio_11.tif,false,5.742801085118766
Bio_12.tif,false,28.526769493408395
Bio_13.tif,false,5.542724293785606
Bio_14.tif,false,0.29693975142971707
Bio_15.tif,false,48.23300217440732
Bio_16.tif,false,12.655859699749879
Bio_17.tif,false,2.322166474118263
Bio_18.tif,false,2.617233015079661
Bio_19.tif,false,10.120848016200577
East_Mediterranean_DEM,false,714.3375576146118
East_Mediterranean_aspect,false,185.34521299656495
East_Mediterranean_slope,false,9.543791705080311
river_proximity_map,false,682.2170445473907
