Predictor variable,Categorical,Sample average
Bio_01,false,14.591416325850922
Bio_02,false,10.092980635106956
Bio_03,false,40.230464699576196
Bio_04,false,512.8650817565017
Bio_05,false,28.695578105897667
Bio_06,false,3.5291415260524728
Bio_07,false,25.166436479960343
Bio_08,false,10.578381671071023
Bio_09,false,20.649643912654536
Bio_10,false,21.043571723985185
Bio_11,false,8.654635143441036
Bio_12,false,30.981851338379542
Bio_13,false,6.493841595804626
Bio_14,false,0.2526302130796845
Bio_15,false,55.29703310826495
Bio_16,false,14.277890825027724
Bio_17,false,1.9450804103116976
Bio_18,false,2.3444520505411384
Bio_19,false,11.38168258720359
East_Mediterranean_DEM,false,380.7399676055474
East_Mediterranean_aspect,false,183.58341735156614
East_Mediterranean_slope,false,9.478677067139515
river_proximity_map,false,596.5588567112417
