Predictor variable,Categorical,Sample average
Bio_01,false,16.537599809293923
Bio_02,false,9.683704694930482
Bio_03,false,39.18846868388274
Bio_04,false,512.7299209083259
Bio_05,false,30.367123808385212
Bio_06,false,5.624874039479611
Bio_07,false,24.74224971975154
Bio_08,false,12.741640732144761
Bio_09,false,22.71577893857695
Bio_10,false,23.00127917602146
Bio_11,false,10.596125307689123
Bio_12,false,22.801849538073903
Bio_13,false,5.741818893954642
Bio_14,false,0.04012136769668569
Bio_15,false,61.96195872834931
Bio_16,false,11.688979474288072
Bio_17,false,0.7273409707933254
Bio_18,false,1.1299620218015831
Bio_19,false,8.67769759277398
East_Mediterranean_DEM,false,207.49976296642558
East_Mediterranean_aspect,false,178.34161354607076
East_Mediterranean_slope,false,5.207912486557321
river_proximity_map,false,571.1670103527327
